1,2,3
1,3,4
4,3,5
4,5,6
1,4,7
6,5,8
7,4,9
6,8,10
10,8,11
4,6,12
10,11,13
7,9,14
13,11,15
6,10,16
4,12,9
13,15,17
12,6,16
17,15,18
14,9,19
10,13,20
17,18,21
16,10,20
21,18,22
9,12,23
13,17,24
12,16,23
21,22,25
14,19,26
20,13,24
25,22,27
17,21,28
9,23,19
16,20,29
25,27,30
24,17,28
23,16,31
30,27,32
21,25,33
26,19,34
20,24,35
30,32,36
16,29,31
28,21,33
36,32,37
29,20,35
19,23,38
25,30,39
24,28,40
36,37,41
23,31,38
33,25,39
26,34,42
35,24,40
41,37,43
30,36,44
28,33,45
31,29,46
41,43,47
19,38,34
29,35,46
39,30,44
40,28,45
47,43,48
36,41,49
38,31,50
33,39,51
42,34,52
47,48,53
35,40,54
44,36,49
31,46,50
45,33,51
53,48,55
46,35,54
41,47,56
34,38,57
39,44,58
40,45,59
53,55,60
49,41,56
38,50,57
51,39,58
42,52,61
60,55,62
47,53,63
54,40,59
44,49,64
50,46,65
45,51,66
60,62,67
46,54,68
56,47,63
34,57,52
58,44,64
59,45,66
67,62,69
53,60,70
49,56,71
57,50,72
51,58,73
61,52,74
67,69,75
65,46,68
63,53,70
54,59,76
64,49,71
50,65,72
66,51,73
75,69,77
60,67,78
56,63,79
52,57,80
68,54,76
58,64,81
75,77,82
59,66,83
70,60,78
71,56,79
57,72,80
73,58,81
61,74,84
82,77,85
67,75,86
65,68,87
76,59,83
63,70,88
64,71,89
72,65,87
66,73,90
82,85,91
78,67,86
79,63,88
52,80,74
68,76,92
81,64,89
91,85,93
75,82,94
83,66,90
70,78,95
71,79,96
80,72,97
73,81,98
84,74,99
91,93,100
87,68,92
86,75,94
76,83,101
88,70,95
89,71,96
72,87,97
90,73,98
100,93,102
82,91,103
78,86,104
74,80,105
79,88,106
92,76,101
81,89,107
100,102,108
83,90,109
94,82,103
95,78,104
96,79,106
80,97,105
98,81,107
84,99,110
108,102,111
91,100,112
87,92,113
86,94,114
101,83,109
88,95,115
89,96,116
97,87,117
108,111,118
90,98,119
103,91,112
104,86,114
74,105,99
106,88,115
92,101,120
107,89,116
118,111,121
100,108,122
109,90,119
94,103,123
95,104,124
87,113,117
96,106,125
105,97,126
110,99,127
98,107,128
118,121,129
113,92,120
112,100,122
114,94,123
101,109,130
115,95,124
116,96,125
129,121,131
97,117,126
108,118,132
119,98,128
103,112,133
104,114,134
99,105,135
106,115,136
120,101,130
107,116,137
129,131,138
122,108,132
109,119,139
123,103,133
124,104,134
125,106,136
117,113,140
110,127,141
105,126,135
138,131,142
128,107,137
118,129,143
113,120,140
112,122,144
114,123,145
130,109,139
115,124,146
116,125,147
138,142,148
126,117,149
132,118,143
119,128,150
133,112,144
99,135,127
134,114,145
136,115,146
120,130,151
137,116,147
148,142,152
129,138,153
122,132,154
139,119,150
123,133,155
124,134,156
117,140,149
125,136,157
141,127,158
148,152,159
135,126,160
140,120,151
128,137,161
143,129,153
144,122,154
145,123,155
130,139,162
146,124,156
147,125,157
159,152,163
138,148,164
132,143,165
150,128,161
126,149,160
133,144,166
127,135,167
134,145,168
136,146,169
151,130,162
159,163,170
137,147,171
153,138,164
154,132,165
139,150,172
155,133,166
156,134,168
149,140,173
141,158,174
157,136,169
170,163,175
148,159,176
135,160,167
140,151,177
161,137,171
143,153,178
144,154,179
145,155,180
162,139,172
146,156,181
170,175,182
147,157,183
164,148,176
165,143,178
150,161,184
160,149,185
166,144,179
127,167,158
168,145,180
169,146,181
182,175,186
151,162,187
